Article_ID,Text
Starbucks_0,"STARBUCKS 2020 REPORTEN V IRO NMENTAL & SOCIAL IMPA C T STARBUCKS PEOPLE          PLANET          COFFEEGLOBAL   ENVIRONMENTAL   & SOCIAL IMPACT   REPORT 2020 Global Environmental & Social Impact Report  |  2 © 2021 Starbucks Corporation. While this report covers the  progress we made in FY20, our  key areas of focus continue in  FY21. Most recently, our partners  have seen a substantial wage  increase; our renewable energy  investments are benefitting our  stores and the communities  around them; we have set new    inclusion and diversity goals and  commitments ; we committed  to invest $100 million to support  small businesses and community development projects in Black,  Indigenous and People of Color (BIPOC) neighborhoods ; we added  another $50 million to our global coffee farmer fund; and we’re  doing more each day. We have a unique opportunity at Starbucks to use our reach   and scale to create a better society in many ways, big and small. I have immense gratitude and pride for all Starbucks partners  who have worked together through this historic time in service  of their communities, creating a third place where we can all find  community, acceptance and a sense of belonging."
Starbucks_5,"Now, meeting the ambitious targets set out in this report will  take time … and Starbucks is wholeheartedly committed to these  environmental and social goals for the long term. They are core to  our mission, they are core to our business and they are core to who  we are as Starbucks partners. Kevin Johnson   president and ceoDear Starbucks partners, customers and stakeholders: As a company grounded in a mission to inspire and nurture the  human spirit, Starbucks has always looked to make positive  connections and impact on people and communities around  the world. So, 20 years ago, we made a commitment to report  transparently and regularly about our efforts to improve economic  conditions for coffee farmers, minimize our environmental  footprint, make positive contributions to the communities we  serve, and create a culture of inclusion, belonging and opportunity  for all Starbucks partners (employees). In this FY20 report, you’ll see that even through a historic global  pandemic, we remained steadfast in our commitment to people  and to the planet."
Starbucks_10,"Our goal to make a positive impact on the lives  of partners and customers and to give more than we take from the  planet is central to the work we do. I’m tremendously proud of all  Starbucks partners who prioritized the health and safety of people  and showed up for their communities as we navigated COVID-19  together. By being intentional, transparent and accountable,  we are committed to making lasting progress in  being a people, planet and profit positive company. Accordingly, you will see that we have added additional rigor to  this work by providing data consistent with the Sustainability  Accounting Standards Board (SASB) Environmental, Social and  Governance (ESG) reporting standards. REFLECTING ON OUR 2020 PROGRESSA MESSAGE FROM KEVIN JOHNSON 2020 Global Environmental & Social Impact Report  |  3 © 2021 Starbucks Corporation."
Starbucks_15,"STARBUCKS 2020 REPORTEN V IRO NMENTAL & SOCIAL IMPA C T STARBUCKS NAVIGATING A   GLOBAL PANDEMIC Throughout the COVID-19 pandemic, our Starbucks partners, customers and  communities have been resilient and inspiring in the face of unprecedented  challenges. Our activities in FY20 and FY21 to date have been guided by  three principles we established toward the beginning of the pandemic,   and we continually provide updates on our pandemic-related efforts here . “Over the past few years we have reimagined the third place. One which  remains focused on human connection, evolved to meet our customers  where they are, and where we can all find community and acceptance. Acceptance without exception."
Starbucks_20,"Inclusion in every way. We are, most  certainly, built for this moment.”OUR GUIDING PRINCIPLES1 2 3 Prioritizing the health and  well-being of our partners  (employees) and customers.Playing a constructive role  in supporting health and  government officials as they  work to mitigate the spread   of the virus. Showing up in positive and  responsible ways to serve   our communities. KEVIN JOHNSON2020 Global Environmental & Social Impact Report  |  4 © 2021 Starbucks Corporation. NAVIGATING A GLOBAL PANDEMICPROGRESS: FY20 AND FY21 TO DATE Prioritizing the health and well-being of our  partners (employees) and customers."
Starbucks_25,"Our partners have continued to show up for their communities  in the face of extraordinary circumstances, and we are  committed to keeping partner care front and center. In the early months of the pandemic, we provided partner  benefits that included service pay, catastrophe pay, benefits  continuation, expanded mental health support, expanded  backup childcare support, and food and beverage allowances –   with no involuntary layoffs. We also initiated a $10 million  emergency relief fund for partners in both company-operated  and licensed retail store markets around the world. As stores began to re-open, we announced a COVID-19 Leave  of Absence policy for partners who preferred to take unpaid  leave while keeping their existing Starbucks benefits and  eligibility for unemployment assistance available. Thousands of  partners took advantage of this policy."
Starbucks_30,"Recently, we extended  COVID-19 benefits for U.S. partners, including paid time off to  get vaccinated, an extension of catastrophe pay, and increased  backup care days to take care of family members. Playing a constructive role in supporting health  and government officials as they work to  mitigate the spread of the virus. Since the onset of COVID-19, Starbucks has remained close to  national, state and local health officials to ensure our business  decisions are anchored to and guided by facts and science. We have shifted our store layouts and customer interactions   in a variety of ways, prioritizing customer safety while providing  a warm and welcoming third place. In the U.S., we advocated  for timely and robust government  relief legislation."
Starbucks_35,"In our home state of Washington, we’re  sharing our company’s expertise  in operational efficiency,  scalable modeling and human-centered design as part of the  Washington State Vaccine Action Command and Coordination  System Center, a public-private effort  to accelerate safe  and equitable vaccine access for all Washingtonians in ways  that can be replicated in other communities. The Starbucks  Foundation also made a founding donation to the All In WA  initiative to support equitable vaccine access, education and  outreach in disproportionately impacted communities. Showing up in positive and responsible ways to  serve our communities. With the onset of COVID-19, our partners in Asia led the  way last spring in organizing food and coffee donations to  hospitals, nonprofits, local police, health officials and other  front-line workers, as well as coffee farmers . Our partners  around the world echoed these demonstrations of gratitude."
Starbucks_40,"Since the start of the pandemic, Starbucks has provided  front-line workers in the U.S. with more than 4.2 million free  cups of coffee, along with thousands of Starbucks gift cards  and K-Cup® pod pallets for hospitals. Starbucks launched a  campaign to raise customer awareness about growing food   insecurity  and encourage donations to Feeding America. We also worked across various organizations in the U.S. and  Canada to provide unsold or excess food and drinks to local  food banks. Support of partners during COVID-19 has also taken the form   of community service, and despite social-distancing  challenges, more than 11,000 of our U.S. partners reported  volunteering in their communities in FY20. 1 232020 Global Environmental & Social Impact Report  |  5 © 2021 Starbucks Corporation."
Starbucks_45,"Established in 1997, The Starbucks Foundation  is a U.S. 501(c)(3)   charitable organization under U.S. law, and receives funding  primarily from Starbucks Corporation. The Starbucks Foundation   is committed to strengthening humanity by uplifting communities. It provided over $17 million in grants in FY20   to nonprofit organizations in our hometown of Seattle, and in  neighborhoods and coffee- and tea-growing communities   around the world. More than $10 million in Foundation grants   supported local and global COVID-19 initiatives . Global community response efforts  included contributions to   the United Nations Foundation’s COVID-19 Solidarity Response  Fund to support the World Health Organization and programs to  promote COVID-19 prevention and community resilience in China."
